,owner,fuel,year,selling_price,km_driven,transmission,mileage,engine,max_power,seats
55,Second Owner,Petrol,2016,25.0,30000,Automatic,15.71,1998,189.0,5
56,First Owner,Diesel,2016,6.0,150000,Manual,26.59,1248,74.0,5
57,First Owner,Diesel,2017,7.25,110000,Manual,22.54,1396,88.73,5
58,Second Owner,Diesel,2010,2.0,100000,Manual,18.8,1248,90.0,5
59,First Owner,Petrol,2019,6.15,10000,Manual,21.21,1197,81.8,5
60,First Owner,Petrol,2018,6.1,35000,Manual,21.4,1197,83.1,5
61,Second Owner,Diesel,2014,6.25,70000,Automatic,11.79,2179,120.0,8
62,Second Owner,Petrol,2020,4.0,5000,Manual,19.0,1194,94.68,5
63,First Owner,Petrol,2017,8.66,37800,Manual,17.0,1591,121.3,5
64,First Owner,Petrol,2010,7.0,114000,Manual,14.3,1798,160.0,5
65,First Owner,Petrol,2010,3.0,48000,Manual,15.8,1172,65.0,5
66,First Owner,Diesel,2019,17.0,32000,Manual,15.1,2179,155.0,7
67,First Owner,Diesel,2016,3.75,100000,Manual,19.09,1405,69.01,5
68,Second Owner,Diesel,2013,5.22,150000,Manual,22.32,1582,126.32,5
69,First Owner,Diesel,2013,4.51999,69000,Manual,21.9,1396,88.76,5
70,Second Owner,Petrol,2009,3.0,100000,Manual,14.53,1798,138.1,5
71,First Owner,Petrol,2020,4.75,13000,Manual,21.63,998,67.04,5
72,First Owner,Diesel,2016,7.8,60000,Manual,24.3,1248,88.5,5
73,First Owner,Petrol,2017,5.95,40000,Manual,20.85,1197,83.14,5
74,First Owner,Petrol,2017,4.4,35000,Manual,20.51,998,67.04,5
75,First Owner,Diesel,2016,11.4,50000,Manual,19.67,1582,126.2,5
76,First Owner,Diesel,2017,8.5,76139,Manual,23.0,1498,98.96,5
77,First Owner,Petrol,2018,3.5,25000,Manual,23.01,999,67.0,5
78,Second Owner,Petrol,2015,3.6,40000,Manual,23.1,998,67.04,5
79,Second Owner,Diesel,2013,6.25,90000,Manual,20.77,1248,88.76,7
80,Second Owner,Petrol,2009,1.35,80000,Manual,17.92,1086,62.1,5
81,Second Owner,Diesel,2015,7.0,110000,Manual,20.77,1248,88.76,7
82,First Owner,Petrol,2017,41.0,17000,Automatic,9.5,3604,280.0,5
83,First Owner,Petrol,2011,3.75,49000,Manual,15.04,1598,103.6,5
84,First Owner,Petrol,2012,5.5,95000,Manual,16.3,1797,147.5,5
85,First Owner,Petrol,2016,8.5,20000,Manual,17.5,1373,91.1,7
86,First Owner,Petrol,2017,100.0,30000,Automatic,42.0,1969,400.0,4
87,Second Owner,Diesel,2011,3.0,100000,Manual,20.54,1598,103.6,5
88,First Owner,Petrol,2018,5.75,9500,Manual,18.16,1196,86.8,5
89,First Owner,Diesel,2011,1.6,120000,Manual,20.0,1399,68.0,5
90,First Owner,Petrol,2015,5.15,36600,Manual,20.4,1197,81.8,5
91,Second Owner,Petrol,2015,3.9,50000,Automatic,20.51,998,67.0,5
92,Second Owner,Petrol,2016,5.5,14000,Manual,18.6,1197,81.83,5
93,Second Owner,Petrol,1999,0.4,40000,Manual,16.1,796,37.0,4
94,First Owner,Diesel,2010,2.2,120000,Manual,21.1,1248,73.9,5
95,First Owner,Petrol,2015,4.25,70000,Manual,18.9,1197,82.0,5
96,First Owner,Petrol,2019,4.8,13000,Manual,19.44,999,75.0,5
97,Second Owner,Petrol,2014,4.0,60000,Manual,18.9,1197,82.0,5
98,First Owner,Petrol,2014,4.87,35000,Manual,19.1,1197,85.8,5
99,Second Owner,Petrol,2016,3.86,44000,Manual,19.1,1197,82.0,5
100,Second Owner,Petrol,2005,1.0,120000,Manual,13.0,1493,100.0,5
101,First Owner,Diesel,2010,3.0,60000,Manual,21.43,1364,87.2,5
102,First Owner,Petrol,2000,1.0,60000,Manual,18.5,796,53.0,5
103,Second Owner,Diesel,2014,17.5,30000,Manual,13.0,2982,168.5,7
104,Second Owner,Petrol,2016,4.5,15000,Manual,18.15,1198,82.0,6
105,First Owner,Diesel,2017,4.9,90000,Manual,22.95,1248,74.0,5
106,Second Owner,Petrol,2009,3.45,47000,Manual,17.0,1497,118.0,5
107,First Owner,Petrol,2005,0.85,90000,Manual,17.3,993,60.0,5
108,Second Owner,Petrol,2010,2.15,120600,Manual,18.9,998,67.1,5
109,Second Owner,Petrol,2016,4.59999,60000,Manual,20.85,1197,83.14,5
110,First Owner,Petrol,2005,0.65,86000,Manual,15.3,1341,83.0,5
111,First Owner,Petrol,2020,7.2,5000,Manual,18.6,1197,81.86,5
112,First Owner,Diesel,2017,8.0,37000,Manual,28.09,1248,88.5,5
113,First Owner,Petrol,2019,5.2,14000,Manual,20.3,1199,84.0,5
114,First Owner,Diesel,2015,5.8,70000,Manual,20.77,1248,88.76,7
115,First Owner,Petrol,2015,6.0,50000,Manual,17.4,1497,117.3,5
116,Second Owner,Petrol,2014,2.9,60000,Manual,19.4,1198,86.8,5
117,First Owner,Petrol,2017,5.5,50000,Manual,20.85,1197,83.14,5
118,First Owner,Petrol,2013,3.75,70000,Manual,18.5,1197,82.85,5
119,First Owner,Petrol,2018,4.2,35000,Automatic,20.51,998,67.0,5
120,First Owner,Petrol,2017,5.5,20000,Manual,21.21,1197,81.8,5
121,First Owner,Petrol,2018,2.7,20000,Manual,24.7,796,47.3,5
122,First Owner,Petrol,2018,7.0,7800,Automatic,22.0,1197,81.8,5
123,First Owner,Petrol,2017,5.0,20000,Manual,20.4,1197,81.8,5
124,First Owner,Diesel,2019,12.5,15000,Manual,17.6,2179,147.94,7
125,Second Owner,Petrol,2013,3.2,31377,Manual,18.5,1197,82.85,5
126,First Owner,Diesel,2018,7.0,50000,Manual,28.4,1248,74.02,5
127,First Owner,Petrol,2015,2.9,60000,Manual,20.51,998,67.04,5
128,First Owner,Petrol,2012,5.5,100000,Automatic,14.53,1794,138.1,5
129,First Owner,Petrol,2012,2.65,60000,Manual,19.4,1198,86.8,5
130,First Owner,Petrol,2018,8.3,5000,Automatic,21.4,1197,83.1,5
131,First Owner,Diesel,2017,8.0,60000,Manual,14.1,2179,147.94,7
132,Second Owner,Petrol,2011,1.6,25000,Manual,19.7,796,46.3,5
133,First Owner,Petrol,2018,3.35,30000,Manual,25.17,799,53.3,5
134,Second Owner,Petrol,2017,3.29,80000,Manual,20.63,1198,67.0,5
135,First Owner,Diesel,2017,7.75,75000,Manual,24.3,1248,88.5,5
136,First Owner,Petrol,2020,5.24,32000,Manual,20.14,1197,81.86,5
137,First Owner,Petrol,2015,2.45,40000,Manual,22.74,796,47.3,5
138,Second Owner,Petrol,2012,2.75,93000,Manual,17.0,1197,80.0,5
139,First Owner,Petrol,2018,5.2,60000,Manual,17.57,1193,88.7,5
140,First Owner,Petrol,2014,5.5,37000,Manual,16.95,1498,97.7,5
141,First Owner,Petrol,2018,9.1,15000,Manual,17.0,1497,121.36,5
142,First Owner,Petrol,2015,3.0,80000,Manual,19.49,1198,67.04,5
143,First Owner,Petrol,2016,3.5,140000,Manual,20.51,998,67.04,5
144,First Owner,Diesel,2013,9.0,70000,Manual,12.83,2696,162.0,7
145,Second Owner,Diesel,2013,3.0,120000,Manual,17.21,1493,100.0,7
146,Second Owner,Diesel,2010,2.5,110000,Manual,21.1,1248,73.9,5
147,First Owner,Diesel,2017,11.0,37000,Manual,19.67,1582,126.2,5
148,First Owner,Petrol,2016,2.7,44000,Manual,25.17,799,53.3,5
149,First Owner,Diesel,2015,6.4,80000,Manual,20.77,1248,88.76,7
150,First Owner,Diesel,2015,6.5,125000,Manual,15.1,2179,140.0,7
151,First Owner,Petrol,2017,4.09999,13500,Manual,15.37,1196,73.0,5
152,First Owner,Petrol,2011,1.65,75000,Manual,17.92,1086,62.1,5
153,Second Owner,Petrol,2007,0.8,120000,Manual,13.2,1495,94.0,5
154,First Owner,Diesel,2012,5.35,120000,Manual,15.1,2179,140.0,7
155,First Owner,Diesel,2013,7.0,70000,Manual,12.99,2494,100.57,7
156,First Owner,Diesel,2013,5.5,70000,Manual,23.4,1248,74.0,5
157,First Owner,Petrol,2019,6.8,15000,Automatic,19.0,1199,88.76,5
158,Second Owner,Petrol,2009,2.0,53000,Manual,20.36,1197,78.9,5
159,Second Owner,Diesel,2014,5.0,120000,Manual,23.4,1248,74.0,5
160,First Owner,Diesel,2016,10.0,70000,Manual,24.52,1248,88.5,7
161,Second Owner,Petrol,2008,1.1,120000,Manual,14.2,1341,82.9,5
162,Second Owner,Petrol,2012,3.2,100000,Manual,18.5,1197,80.0,5
163,First Owner,Petrol,2015,3.5,100000,Manual,20.4,1197,83.11,5
164,First Owner,Diesel,2013,1.7,162500,Manual,19.4,1405,70.0,5
165,First Owner,Diesel,2017,8.0,39000,Manual,22.54,1396,88.73,5
166,First Owner,Diesel,2017,5.0,75000,Manual,26.8,1248,74.0,5
167,First Owner,Diesel,2017,13.8,50000,Automatic,17.6,2179,153.86,7
168,First Owner,Diesel,2019,13.0,40000,Manual,17.3,1497,121.0,8
169,First Owner,Diesel,2013,5.3,92500,Manual,22.32,1582,126.3,5
170,First Owner,Diesel,2012,3.6,158000,Manual,23.4,1248,74.0,5
171,First Owner,Diesel,2012,3.1,120000,Manual,19.3,1248,73.9,5
172,Second Owner,Diesel,2015,7.25,50000,Manual,26.0,1498,98.6,5
173,First Owner,Diesel,2012,3.4,110000,Manual,19.3,1248,73.9,5
174,Second Owner,Diesel,2017,5.5,2000,Manual,25.4,1186,73.97,5
175,Second Owner,Diesel,2011,11.5,181000,Manual,11.5,2982,171.0,7
176,First Owner,Diesel,2016,3.8,70000,Manual,27.28,1047,69.0,5
177,Second Owner,Petrol,2013,3.5,90000,Automatic,17.97,1498,99.6,5
178,First Owner,Petrol,2019,6.1,2000,Manual,18.6,1197,81.86,5
179,First Owner,Petrol,2015,5.25,20000,Manual,20.85,1197,83.14,5
180,First Owner,Diesel,2011,4.8,120000,Manual,12.8,2494,102.0,7
181,First Owner,Diesel,2017,7.8,35000,Manual,16.55,2498,105.0,6
182,First Owner,Diesel,2012,3.2,193000,Manual,19.3,1248,73.9,5
183,First Owner,Petrol,2014,3.75,80000,Manual,20.4,1197,81.8,5
184,First Owner,Petrol,2019,3.0,40000,Manual,19.02,1198,67.05,5
185,First Owner,Diesel,2011,4.04,122358,Manual,12.05,2179,120.0,9
186,First Owner,Diesel,2015,5.0,75000,Manual,14.07,2956,69.01,7
187,First Owner,Diesel,2017,3.5,120000,Manual,27.28,1047,69.0,5
188,First Owner,Petrol,2015,3.8,40000,Manual,17.57,1193,88.7,5
189,First Owner,Diesel,2012,2.9,60000,Manual,21.02,1248,88.76,5
190,Second Owner,Petrol,2005,1.1,45000,Manual,19.7,796,46.3,5
191,Second Owner,Diesel,2009,4.0,170000,Manual,13.6,2523,63.0,7
192,Second Owner,Diesel,2007,2.1,207890,Manual,13.6,2523,63.0,7
193,First Owner,Diesel,2018,46.0,7976,Automatic,17.9,2143,170.0,5
194,First Owner,Petrol,2016,2.2,35000,Manual,16.8,796,34.2,8
195,First Owner,Petrol,2017,4.5,35000,Manual,18.9,1197,82.0,5
196,First Owner,Petrol,2017,4.5,35000,Manual,18.9,1197,82.0,5
197,First Owner,Petrol,2013,2.9,50000,Automatic,16.95,1197,78.9,5
198,First Owner,Petrol,2016,5.2,20000,Manual,20.4,1197,81.8,5
199,First Owner,Petrol,2011,2.65,20000,Automatic,16.95,1197,78.9,5
200,Second Owner,Petrol,2012,3.3,50000,Manual,18.6,1197,85.8,5
201,Second Owner,Petrol,2012,3.3,50000,Manual,18.6,1197,85.8,5
202,First Owner,Diesel,2014,5.09999,120000,Manual,15.96,2523,62.1,7
203,First Owner,Petrol,2014,5.0,70000,Manual,17.1,1591,121.3,5
204,First Owner,Petrol,2015,5.25,50000,Manual,17.19,1197,81.86,5
205,First Owner,Petrol,2019,6.75,16500,Manual,21.01,1197,81.8,5
206,First Owner,Petrol,2010,3.0,70000,Manual,17.0,1197,80.0,5
207,Second Owner,Petrol,2005,0.9,99361,Manual,19.7,796,46.3,5
208,First Owner,Diesel,2017,6.5,25000,Manual,26.59,1248,74.0,5
209,Second Owner,Petrol,2014,4.09,70000,Manual,19.1,1197,85.8,5
210,Second Owner,Diesel,2015,3.95,80000,Manual,24.0,1120,70.0,5
211,Second Owner,Petrol,2014,4.0,70000,Manual,19.1,1197,85.8,5
212,First Owner,Petrol,2018,6.45,10000,Automatic,20.3,1199,84.0,5
213,First Owner,Petrol,2006,0.81,80000,Manual,16.1,796,37.0,4
214,First Owner,Diesel,2017,13.0,30000,Manual,25.6,1498,97.9,5
215,First Owner,Diesel,2017,12.5,33000,Manual,25.6,1498,97.9,5
216,Second Owner,Diesel,2014,5.55,80100,Manual,19.01,1461,108.5,5
217,First Owner,Petrol,2014,7.25,120000,Manual,17.4,1497,117.3,5
218,First Owner,Petrol,2016,2.29999,40000,Manual,25.17,799,53.3,5
219,Second Owner,Diesel,2013,8.0,160000,Manual,12.99,2494,100.6,8
220,First Owner,Petrol,2017,4.09999,47000,Manual,20.51,998,67.04,5
221,First Owner,Diesel,2018,12.1,25000,Manual,21.38,1396,88.7,5
222,First Owner,Petrol,2017,4.0,26000,Manual,23.84,1199,84.0,5
223,First Owner,Diesel,2018,5.2,29000,Manual,24.0,1186,73.97,5
224,First Owner,Petrol,2016,6.5,50000,Automatic,21.4,1197,83.1,5
225,First Owner,Petrol,2012,4.2,120000,Automatic,17.4,1197,85.8,5
226,First Owner,Petrol,2014,4.0,50000,Manual,20.4,1197,81.8,5
227,First Owner,Petrol,2017,3.51,36000,Manual,23.1,998,67.04,5
228,First Owner,Diesel,2011,2.5,50000,Manual,23.08,1461,63.1,5
229,Second Owner,Petrol,2013,5.0,50000,Manual,17.1,1591,121.3,5
230,Second Owner,Petrol,2007,0.85,80000,Manual,18.2,998,67.1,5
231,Second Owner,Petrol,2010,1.3,162000,Manual,19.0,998,66.1,5
232,First Owner,Diesel,2011,2.75,45000,Manual,23.08,1461,63.1,5
233,Second Owner,Petrol,2005,0.89,90000,Manual,18.9,998,67.1,5
234,Second Owner,Diesel,2010,1.7,90000,Manual,20.0,1399,68.0,5
235,First Owner,Diesel,2017,11.0,67000,Automatic,17.01,1582,126.2,5
236,First Owner,Diesel,2018,30.0,35000,Manual,14.24,2755,174.5,7
237,Second Owner,Petrol,2011,1.5,50000,Manual,15.64,1193,64.08,5
238,First Owner,Diesel,2013,15.5,25000,Automatic,14.84,2143,170.0,5
239,First Owner,Diesel,2013,2.5,120000,Manual,23.08,1461,63.1,5
240,First Owner,Petrol,2005,0.65,35000,Manual,18.9,998,67.1,5
241,Second Owner,Diesel,2016,5.5,60000,Manual,26.59,1248,74.0,5
242,First Owner,Petrol,2016,3.0,30000,Manual,25.17,799,53.3,5
243,First Owner,Petrol,2016,8.0,70000,Automatic,16.34,1798,189.3,5
244,First Owner,Diesel,2015,5.03,110000,Manual,14.1,2179,147.94,7
245,First Owner,Diesel,2019,38.0,20000,Automatic,18.0,1969,190.0,5
246,Second Owner,Petrol,2009,5.0,120000,Automatic,11.1,2354,158.8,5
247,First Owner,Diesel,2015,4.8,90000,Manual,26.59,1248,74.0,5
248,Second Owner,Diesel,2012,3.0,100000,Manual,21.5,1248,88.8,5
249,Second Owner,Petrol,2009,3.4,214000,Manual,13.9,1599,103.2,5
250,Second Owner,Diesel,2009,3.4,214000,Manual,16.8,1493,110.0,5
251,First Owner,Petrol,2016,2.4,50000,Manual,22.74,796,47.3,5
252,First Owner,Petrol,2018,10.85,1000,Automatic,18.0,1497,117.6,5
253,First Owner,Diesel,2017,7.5,19000,Automatic,28.4,1248,74.02,5
254,Second Owner,Diesel,2012,0.95,265000,Manual,17.0,1405,70.0,5
255,Second Owner,Petrol,2014,2.15,80000,Manual,23.95,998,67.05,5
256,First Owner,Diesel,2016,12.9,50000,Automatic,16.0,2179,140.0,7
257,First Owner,Petrol,2010,1.5,80000,Manual,20.92,998,67.1,5
258,Second Owner,Petrol,2013,2.19,50000,Manual,21.1,814,55.2,5
259,First Owner,Petrol,2018,3.25,100000,Manual,23.84,1199,84.0,5
260,Second Owner,Petrol,2013,2.6,120000,Manual,15.1,1196,73.0,5
261,First Owner,Diesel,2015,5.03,110000,Manual,14.1,2179,147.94,7
262,First Owner,Diesel,2019,38.0,20000,Automatic,18.0,1969,190.0,5
263,First Owner,Diesel,2019,7.0,40000,Automatic,23.8,1498,78.9,5
264,First Owner,Diesel,2017,9.5,45000,Manual,21.38,1396,88.7,5
265,Second Owner,Petrol,2010,1.6,80000,Manual,19.7,796,46.3,5
266,Second Owner,Diesel,2015,4.09999,135000,Manual,24.4,1120,71.01,5
267,Second Owner,Diesel,2015,8.4,120000,Manual,12.99,2494,100.6,7
268,First Owner,Diesel,2013,4.5,67000,Manual,23.59,1364,67.1,5
269,First Owner,Diesel,2017,9.0,50000,Manual,28.4,1248,74.02,5
270,Second Owner,Diesel,2008,5.7,134000,Manual,12.8,2494,102.0,7
271,Second Owner,Diesel,2011,2.54999,110000,Manual,23.08,1461,63.1,5
272,First Owner,Petrol,2009,1.3,40000,Manual,16.1,796,37.0,4
273,Second Owner,Diesel,2013,5.3,120000,Manual,23.4,1248,74.0,5
274,Second Owner,Diesel,2015,5.2,110000,Manual,20.14,1498,88.8,5
275,Second Owner,Diesel,2011,2.29999,170000,Manual,21.0,1461,64.1,5
276,Second Owner,Petrol,2004,0.81,80000,Manual,16.1,796,37.0,4
277,First Owner,Diesel,2016,6.0,47000,Manual,25.2,1248,74.0,5
278,First Owner,Petrol,2015,4.09999,93000,Manual,19.1,1197,81.86,5
279,Second Owner,Petrol,2010,1.2,70000,Manual,16.1,796,37.0,4
280,First Owner,Petrol,2014,3.2,50000,Manual,23.1,998,67.04,5
281,First Owner,Diesel,2015,2.92,70000,Manual,20.0,1399,68.05,5
282,First Owner,Diesel,2012,3.9,80000,Manual,13.93,2179,138.03,7
283,First Owner,Petrol,2016,5.5,44000,Manual,18.16,1196,86.8,5
284,First Owner,Petrol,2014,3.85,25000,Manual,23.1,998,67.04,5
285,First Owner,Petrol,2016,8.0,25000,Manual,15.29,1591,121.3,5
286,First Owner,Petrol,2019,6.75,10000,Manual,21.21,1197,81.8,5
287,First Owner,Diesel,2018,15.25,50000,Manual,17.6,2179,153.86,7
288,First Owner,Diesel,2018,9.5,30000,Manual,23.0,1498,98.96,5
289,Second Owner,Diesel,2015,6.1,50000,Manual,21.19,1396,88.73,5
290,First Owner,Diesel,2012,5.25,120000,Manual,22.54,1396,88.73,5
291,First Owner,Diesel,2019,7.0,40000,Automatic,23.8,1498,78.9,5
292,First Owner,Diesel,2015,3.75,80000,Manual,15.96,2523,62.1,7
293,First Owner,Diesel,2015,5.8,90000,Manual,20.45,1461,83.8,5
294,Second Owner,Petrol,2015,4.34999,50000,Manual,20.4,1197,83.11,5
295,First Owner,Petrol,2020,3.5,2136,Manual,22.5,999,67.0,5
296,First Owner,Diesel,2012,7.3,250000,Manual,12.99,2494,100.0,7
297,First Owner,Petrol,2015,6.0,35000,Manual,18.6,1197,81.83,5
298,First Owner,Diesel,2015,10.5,120000,Manual,12.99,2494,100.6,7
299,First Owner,Diesel,2017,7.35,70000,Manual,27.39,1248,74.0,5
300,Second Owner,Diesel,2016,4.2,110000,Manual,18.2,1248,73.74,7
301,First Owner,Diesel,2017,8.0,60000,Manual,23.65,1248,88.5,5
302,First Owner,Diesel,2015,20.0,60000,Automatic,12.55,2982,168.5,7
303,Second Owner,Diesel,2016,6.0,147000,Manual,26.59,1248,74.0,5
304,First Owner,Diesel,2015,19.0,130000,Automatic,12.55,2982,168.5,7
305,Second Owner,Diesel,2011,2.0,110000,Manual,17.0,1405,71.0,5
306,First Owner,Petrol,2016,3.7,35000,Manual,19.49,1198,67.04,5
307,Second Owner,Diesel,2010,2.6,110000,Manual,16.2,1493,110.0,5
308,First Owner,Diesel,2016,2.8,100000,Manual,25.32,1198,77.0,6
309,First Owner,Petrol,2014,6.1,21000,Manual,16.02,1373,93.7,7
310,Second Owner,Diesel,2013,3.0,60000,Manual,23.5,1498,90.0,5
311,First Owner,Diesel,2010,1.4,40000,Manual,16.6,1405,70.0,5
312,First Owner,Petrol,2008,2.29999,50000,Manual,19.81,1086,68.05,5
313,Second Owner,Petrol,2010,2.0,65000,Manual,19.0,998,66.1,5
314,First Owner,Petrol,2011,2.0,80000,Manual,18.9,998,67.1,5
315,First Owner,Diesel,2015,5.6,119000,Manual,23.9,1582,126.2,5
316,First Owner,Diesel,2016,7.5,80000,Manual,24.52,1248,88.5,7
317,First Owner,Diesel,2017,5.85,90000,Manual,25.2,1248,74.0,5
318,First Owner,Petrol,2016,7.6,20000,Manual,17.01,1591,121.4,5
319,Second Owner,Diesel,2014,4.3,80000,Manual,25.2,1248,74.0,5
320,First Owner,Diesel,2020,4.8,44665,Manual,25.32,1198,77.0,6
321,First Owner,Diesel,2019,6.43,10000,Manual,20.8,1493,113.4,5
322,First Owner,Petrol,2018,5.0,60000,Manual,20.14,1197,81.86,5
323,First Owner,Petrol,2016,4.25,22000,Manual,18.5,1198,86.8,5
324,First Owner,Petrol,2014,2.5,25000,Manual,22.74,796,47.3,5
325,First Owner,Diesel,2016,2.85,70000,Manual,27.62,793,47.0,5
326,Second Owner,Diesel,2011,2.5,70000,Manual,20.54,1598,103.6,5
327,Second Owner,Petrol,2013,1.7,70000,Manual,18.6,1199,79.4,5
328,First Owner,Diesel,2013,4.09999,45000,Manual,23.59,1364,67.06,5
329,First Owner,Petrol,2015,4.0,40000,Automatic,18.9,1197,82.0,5
330,First Owner,Diesel,2019,7.0,30000,Manual,28.4,1248,74.02,5
331,First Owner,Petrol,2007,3.5,90000,Automatic,12.9,1799,130.0,5
332,Second Owner,Petrol,2016,6.6,34000,Manual,17.5,1373,91.1,7
333,First Owner,Petrol,2017,2.68,25000,Manual,24.7,796,47.3,5
334,First Owner,Petrol,2016,2.7,50000,Manual,22.74,796,47.3,5
335,First Owner,Diesel,2013,3.0,50000,Manual,25.44,936,57.6,5
336,First Owner,Petrol,2017,4.5,90000,Manual,23.84,1199,84.0,5
337,Second Owner,Diesel,2012,2.2,70000,Manual,25.44,936,57.6,5
338,Second Owner,Diesel,2009,2.5,146000,Manual,13.93,2179,138.0,7
339,Second Owner,Petrol,2012,3.0,85000,Manual,15.6,1196,70.0,5
340,Second Owner,Diesel,2009,0.88,201850,Manual,17.88,1396,52.8,5
341,First Owner,Diesel,2016,5.61,30000,Manual,26.59,1248,74.0,5
342,First Owner,Diesel,2018,7.55,15000,Manual,28.4,1248,74.02,5
343,First Owner,Petrol,2017,2.35,25000,Manual,22.7,799,53.64,5
344,First Owner,Petrol,2011,1.65,90000,Manual,20.92,998,67.1,5
345,Second Owner,Diesel,2008,1.9,80000,Manual,19.3,1248,73.9,5
346,First Owner,Diesel,2011,1.1,50000,Manual,17.2,1396,53.5,5
347,Second Owner,Diesel,2012,3.2,80000,Manual,13.6,2523,63.0,8
348,First Owner,Petrol,2016,5.4,38000,Manual,18.6,1197,81.83,5
349,First Owner,Petrol,2013,1.8,60000,Manual,21.1,814,55.2,5
350,First Owner,Petrol,2012,4.5,30000,Manual,17.5,1197,85.8,5
351,First Owner,Petrol,2014,4.5,30000,Manual,19.1,1197,85.8,5
352,First Owner,Petrol,2015,2.0,50000,Manual,18.6,1199,76.8,5
353,First Owner,Petrol,2017,4.25,42000,Manual,23.84,1199,84.0,5
